Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
347622,	12719,	0,	10663,	34669,	0,	
348623,	12604,	0,	10519,	34168,	0,	
349624,	13502,	0,	11277,	36924,	0,	
350625,	12271,	0,	10565,	27817,	0,	
351627,	12973,	0,	10830,	35134,	0,	
352627,	12869,	0,	10732,	34580,	0,	
353630,	12227,	0,	10291,	34394,	0,	
354634,	12522,	0,	10424,	34546,	0,	
355634,	12775,	0,	10682,	34119,	0,	
356632,	12619,	0,	10567,	34493,	0,	
357632,	13663,	0,	11406,	36570,	0,	
358632,	12678,	0,	10570,	34093,	0,	
359636,	12414,	0,	10414,	34133,	0,	
360638,	12099,	0,	10411,	27698,	0,	
361638,	12390,	0,	10363,	33716,	0,	
362637,	12435,	0,	10393,	34381,	0,	
363642,	12148,	0,	10184,	34282,	0,	
364639,	12764,	0,	10666,	34813,	0,	
365639,	12610,	0,	10599,	33868,	0,	
366641,	12637,	0,	10572,	34517,	0,	
367642,	12456,	0,	10397,	34573,	0,	
368644,	12323,	0,	10329,	33976,	0,	
369644,	12652,	0,	10548,	34261,	0,	
370645,	11928,	0,	10273,	25777,	0,	
371646,	12326,	0,	10271,	33512,	0,	
372647,	13333,	0,	11171,	36166,	0,	
373649,	13508,	0,	11241,	35872,	0,	
374650,	12639,	0,	10576,	34703,	0,	
375651,	13208,	0,	10995,	36522,	0,	
376651,	12768,	0,	10685,	35679,	0,	
377653,	13223,	0,	11068,	36107,	0,	
378653,	12451,	0,	10370,	34251,	0,	
379655,	12575,	0,	10550,	34249,	0,	
380654,	12110,	0,	10494,	28033,	0,	
381657,	12789,	0,	10621,	34927,	0,	
382656,	12732,	0,	10572,	34554,	0,	
383659,	12901,	0,	10741,	35041,	0,	
384661,	12580,	0,	10493,	34528,	0,	
385662,	12658,	0,	10619,	34368,	0,	
386663,	12588,	0,	10554,	34506,	0,	
387662,	12669,	0,	10562,	34639,	0,	
388662,	12645,	0,	10624,	34976,	0,	
389664,	12418,	0,	10384,	34570,	0,	
390665,	11976,	0,	10384,	27355,	0,	
391666,	12507,	0,	10521,	34477,	0,	
392668,	12481,	0,	10496,	34577,	0,	
393671,	12505,	0,	10536,	34184,	0,	
394684,	12517,	0,	10430,	34110,	0,	
395670,	12665,	0,	10610,	34539,	0,	
396678,	12516,	0,	10471,	34046,	0,	
397672,	12717,	0,	10677,	35465,	0,	
398673,	13079,	0,	10860,	35485,	0,	
399674,	12619,	0,	10517,	34083,	0,	
400675,	12371,	0,	10695,	27209,	0,	
401677,	12439,	0,	10342,	34402,	0,	
402679,	12650,	0,	10560,	34447,	0,	
403679,	12467,	0,	10427,	34624,	0,	
404680,	12368,	0,	10409,	33842,	0,	
405682,	12478,	0,	10459,	34630,	0,	
406681,	12638,	0,	10597,	33998,	0,	
407682,	12709,	0,	10571,	33949,	0,	
408685,	12526,	0,	10500,	34530,	0,	
409684,	12507,	0,	10458,	34377,	0,	
410687,	12030,	0,	10457,	27204,	0,	
411686,	12816,	0,	10711,	35137,	0,	
412688,	12379,	0,	10356,	34242,	0,	
413688,	12543,	0,	10517,	34489,	0,	
414688,	12859,	0,	10706,	35110,	0,	
415691,	12821,	0,	10690,	35717,	0,	
416694,	12804,	0,	10617,	34131,	0,	
417692,	12523,	0,	10496,	34244,	0,	
418695,	12568,	0,	10545,	34215,	0,	
419698,	12638,	0,	10560,	34420,	0,	
420696,	12047,	0,	10416,	26570,	0,	
421697,	12582,	0,	10512,	34149,	0,	
422699,	12898,	0,	10861,	35657,	0,	
423700,	12684,	0,	10641,	34961,	0,	
424699,	12423,	0,	10347,	34213,	0,	
425701,	12481,	0,	10435,	34099,	0,	
426701,	12782,	0,	10622,	35023,	0,	
427703,	13159,	0,	11005,	35540,	0,	
428703,	13435,	0,	11249,	36825,	0,	
429704,	13354,	0,	11148,	36833,	0,	
430705,	12601,	0,	10946,	27195,	0,	
431706,	13152,	0,	10931,	36189,	0,	
432707,	12991,	0,	10878,	36194,	0,	
433710,	12607,	0,	10524,	33920,	0,	
434708,	13159,	0,	11037,	36443,	0,	
