Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
313442,	2623,	33,	2255,	1899,	0,	
314446,	2728,	35,	2305,	1975,	0,	
315450,	2772,	52,	2251,	2180,	0,	
316455,	2808,	55,	2285,	2070,	0,	
317460,	2670,	40,	2222,	1935,	0,	
318472,	2853,	45,	2342,	2015,	0,	
319475,	3005,	57,	2422,	2222,	0,	
320486,	2824,	52,	2281,	1930,	0,	
321489,	2960,	56,	2377,	2187,	0,	
322492,	2911,	49,	2386,	1796,	0,	
323499,	2959,	51,	2411,	1777,	0,	
324503,	3031,	60,	2455,	1958,	0,	
325506,	2998,	57,	2411,	1973,	0,	
326512,	2744,	38,	2303,	1795,	0,	
327517,	2710,	37,	2293,	1931,	0,	
328523,	2651,	37,	2187,	1994,	0,	
329531,	2693,	34,	2339,	1842,	0,	
330534,	2603,	29,	2222,	1476,	0,	
331538,	2837,	40,	2360,	1982,	0,	
332544,	3039,	64,	2409,	2285,	0,	
333549,	2852,	48,	2355,	1671,	0,	
334556,	2734,	35,	2297,	1555,	0,	
335562,	2852,	46,	2285,	1842,	0,	
336567,	3034,	57,	2459,	2128,	0,	
337573,	2939,	46,	2481,	2102,	0,	
338579,	2796,	45,	2352,	2156,	0,	
339586,	2691,	46,	2221,	2129,	0,	
340588,	2701,	41,	2298,	2084,	0,	
341591,	2587,	39,	2217,	1796,	0,	
342596,	2843,	48,	2396,	2000,	0,	
343600,	2927,	45,	2478,	1868,	0,	
344607,	2806,	36,	2392,	1564,	0,	
345615,	2829,	43,	2401,	1780,	0,	
346620,	2903,	43,	2439,	1810,	0,	
347633,	2897,	51,	2396,	1855,	0,	
348637,	2997,	44,	2528,	1872,	0,	
349644,	2750,	31,	2409,	1620,	0,	
350647,	2825,	37,	2409,	1623,	0,	
351653,	2829,	41,	2408,	1859,	0,	
352659,	2998,	54,	2487,	2156,	0,	
353662,	2745,	44,	2326,	1789,	0,	
354665,	2725,	48,	2303,	1774,	0,	
355672,	2909,	54,	2388,	1930,	0,	
356677,	2768,	60,	2259,	2109,	0,	
357683,	2880,	53,	2405,	2121,	0,	
358688,	2740,	50,	2262,	1945,	0,	
359693,	2895,	57,	2324,	2095,	0,	
360700,	2908,	55,	2354,	2093,	0,	
361704,	2656,	40,	2235,	1881,	0,	
362708,	2683,	35,	2274,	1855,	0,	
363715,	2784,	42,	2354,	1839,	0,	
364718,	2628,	35,	2250,	1807,	0,	
365720,	2849,	41,	2406,	1657,	0,	
366727,	2759,	46,	2285,	1785,	0,	
367730,	2772,	56,	2265,	1544,	0,	
368736,	2795,	64,	2259,	2033,	0,	
369740,	2726,	47,	2306,	1616,	0,	
370745,	2652,	49,	2179,	1698,	0,	
371746,	2781,	47,	2349,	2022,	0,	
372748,	2650,	34,	2317,	2027,	0,	
373752,	2671,	38,	2301,	1829,	0,	
374761,	2771,	40,	2310,	1668,	0,	
375764,	2686,	37,	2270,	1872,	0,	
376771,	2945,	51,	2456,	2146,	0,	
377777,	2746,	47,	2237,	2249,	0,	
378780,	2830,	61,	2289,	2144,	0,	
379786,	2735,	55,	2206,	1894,	0,	
380788,	2729,	53,	2208,	2127,	0,	
381792,	3013,	59,	2435,	2103,	0,	
382795,	2752,	37,	2344,	1763,	0,	
383801,	2838,	32,	2434,	1737,	0,	
384803,	2660,	36,	2291,	1636,	0,	
385809,	2689,	36,	2261,	1786,	0,	
386819,	2880,	37,	2455,	1455,	0,	
387823,	2754,	38,	2362,	1742,	0,	
388828,	2652,	33,	2272,	1638,	0,	
389830,	2811,	42,	2378,	1646,	0,	
390834,	2885,	46,	2391,	1915,	0,	
