Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
417058,	1742,	250,	0,	788,	0,	
418058,	2073,	322,	0,	881,	0,	
419059,	2268,	343,	0,	1009,	0,	
420080,	2498,	397,	0,	1237,	0,	
421096,	1765,	289,	0,	973,	0,	
422111,	1895,	307,	0,	984,	0,	
423111,	1481,	233,	0,	671,	0,	
424127,	2457,	365,	0,	1230,	0,	
425142,	2792,	433,	0,	1251,	0,	
426158,	2955,	461,	0,	1432,	0,	
427161,	2267,	352,	0,	1150,	0,	
428177,	2566,	410,	0,	1266,	0,	
429196,	2205,	344,	0,	1016,	0,	
430212,	2216,	346,	0,	954,	0,	
431212,	2102,	337,	0,	900,	0,	
432212,	2034,	314,	0,	914,	0,	
433227,	2227,	361,	0,	1110,	0,	
434228,	1671,	253,	0,	765,	0,	
435228,	2368,	377,	0,	1119,	0,	
436229,	2103,	332,	0,	1053,	0,	
437231,	1811,	282,	0,	919,	0,	
438242,	2684,	415,	0,	1403,	0,	
439242,	2117,	339,	0,	1173,	0,	
440243,	1656,	255,	0,	845,	0,	
441245,	2103,	330,	0,	1144,	0,	
442258,	2166,	328,	0,	1031,	0,	
443275,	1689,	279,	0,	915,	0,	
444284,	1794,	307,	0,	1098,	0,	
445305,	1697,	257,	0,	867,	0,	
446306,	1770,	290,	0,	908,	0,	
447307,	2029,	318,	0,	956,	0,	
448311,	2818,	436,	0,	1244,	0,	
449316,	1914,	301,	0,	1036,	0,	
450324,	2195,	344,	0,	1044,	0,	
451328,	2867,	175,	1056,	851,	1474,	
452332,	2140,	58,	960,	448,	1349,	
453336,	2618,	105,	1049,	650,	1309,	
454339,	2898,	139,	1111,	885,	1416,	
455342,	2714,	103,	1145,	780,	1561,	
456357,	2864,	132,	1119,	803,	1499,	
457373,	2564,	120,	989,	721,	1409,	
458397,	2497,	102,	987,	658,	1453,	
459401,	2755,	127,	1034,	626,	1501,	
460405,	2601,	119,	999,	655,	1387,	
461407,	2815,	141,	1045,	747,	1463,	
462410,	2227,	87,	944,	601,	1244,	
463412,	2321,	80,	991,	722,	1379,	
464414,	2330,	73,	991,	574,	1534,	
465428,	2282,	69,	1013,	638,	1491,	
466441,	2259,	71,	982,	575,	1374,	
467444,	2305,	84,	955,	642,	1395,	
468457,	2263,	72,	1033,	601,	1375,	
469460,	2227,	65,	978,	555,	1492,	
470461,	1625,	235,	0,	851,	0,	
471478,	1722,	257,	0,	827,	0,	
472495,	2094,	327,	0,	988,	0,	
473496,	1725,	285,	0,	970,	0,	
474496,	2003,	317,	0,	1020,	0,	
475496,	2070,	322,	0,	947,	0,	
476496,	1907,	301,	0,	877,	0,	
477497,	2699,	421,	0,	1169,	0,	
478512,	2488,	394,	0,	1194,	0,	
479512,	2066,	299,	0,	968,	0,	
480513,	1846,	321,	0,	931,	0,	
481528,	2498,	382,	0,	1210,	0,	
482544,	2169,	323,	0,	946,	0,	
483544,	1614,	279,	0,	822,	0,	
484544,	2112,	337,	0,	1029,	0,	
485544,	2199,	343,	0,	906,	0,	
486545,	2226,	303,	0,	884,	0,	
487545,	2154,	382,	0,	1123,	0,	
488546,	2094,	322,	0,	946,	0,	
489548,	1856,	264,	0,	790,	0,	
490553,	2187,	374,	0,	1105,	0,	
491565,	2238,	348,	0,	1025,	0,	
492565,	1767,	280,	0,	819,	0,	
493565,	1752,	278,	0,	819,	0,	
494566,	1766,	279,	0,	809,	0,	
495569,	2011,	314,	0,	963,	0,	
496569,	1816,	302,	0,	793,	0,	
497570,	2261,	339,	0,	882,	0,	
498571,	1687,	271,	0,	812,	0,	
499575,	2249,	364,	0,	984,	0,	
