Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
485031,	1658,	0,	530,	1196,	73,	
486059,	1439,	0,	464,	1267,	64,	
487077,	1255,	0,	420,	870,	33,	
488080,	1367,	0,	467,	1166,	58,	
489083,	1483,	0,	501,	1200,	59,	
490088,	1571,	0,	513,	1229,	48,	
491091,	1466,	0,	465,	1223,	45,	
492092,	1508,	0,	493,	1197,	56,	
493095,	1359,	0,	443,	1072,	35,	
494110,	1378,	0,	447,	1208,	58,	
495124,	1415,	0,	452,	1273,	58,	
496145,	1381,	0,	433,	1074,	41,	
497150,	1128,	0,	407,	939,	47,	
498162,	1426,	0,	472,	1127,	56,	
499163,	1419,	0,	473,	1170,	41,	
