Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used,	Num Nodes
528082,	1680,	60,	1079,	720,	0,	10,	46,	
530090,	1680,	60,	1079,	721,	0,	10,	46,	
532098,	1679,	60,	1077,	720,	0,	10,	46,	
534105,	1679,	60,	1080,	720,	0,	10,	46,	
536112,	1679,	60,	1080,	719,	0,	10,	46,	
538120,	1680,	60,	1079,	721,	0,	10,	46,	
540127,	1680,	60,	1079,	720,	0,	10,	46,	
542134,	1680,	60,	1080,	720,	0,	10,	46,	
544139,	1680,	60,	1080,	719,	0,	10,	46,	
546145,	1680,	60,	1080,	721,	0,	10,	46,	
548150,	1679,	60,	1078,	720,	0,	10,	46,	
550155,	1680,	60,	1079,	719,	0,	10,	46,	
552162,	1680,	60,	1080,	721,	0,	10,	46,	
554169,	1680,	60,	1079,	720,	0,	10,	46,	
556176,	1680,	60,	1080,	720,	0,	10,	46,	
558183,	1680,	60,	1080,	720,	0,	10,	46,	
560190,	1679,	60,	1079,	719,	0,	10,	46,	
562198,	1680,	60,	1079,	721,	0,	10,	46,	
564205,	1679,	60,	1079,	719,	0,	10,	46,	
566212,	1679,	60,	1079,	721,	0,	10,	46,	
568220,	1680,	60,	1079,	720,	0,	10,	46,	
570228,	1679,	60,	1080,	720,	0,	10,	46,	
572236,	1680,	60,	1079,	720,	0,	10,	46,	
574244,	1680,	59,	1080,	720,	0,	10,	46,	
576250,	1679,	61,	1080,	719,	0,	10,	46,	
578256,	1680,	60,	1079,	720,	0,	10,	46,	
580264,	1679,	60,	1080,	721,	0,	10,	46,	
582271,	1679,	60,	1080,	719,	0,	10,	46,	
584276,	1679,	60,	1078,	721,	0,	10,	46,	
586282,	1679,	60,	1078,	720,	0,	10,	46,	
588288,	1679,	60,	1080,	719,	0,	10,	46,	
590296,	1679,	60,	1080,	721,	0,	10,	46,	
592303,	1679,	60,	1080,	720,	0,	10,	46,	
594310,	1680,	60,	1080,	719,	0,	10,	46,	
596318,	1680,	60,	1080,	720,	0,	10,	46,	
598325,	1680,	60,	1079,	720,	0,	10,	46,	
600333,	1680,	60,	1078,	721,	0,	10,	46,	
602338,	1679,	60,	1079,	719,	0,	10,	46,	
604342,	1680,	60,	1079,	721,	0,	10,	46,	
606347,	1679,	60,	1080,	719,	0,	10,	46,	
608359,	1680,	60,	1080,	721,	0,	10,	46,	
610380,	1680,	60,	1080,	720,	0,	10,	46,	
612388,	1680,	60,	1080,	719,	0,	10,	46,	
614395,	1679,	60,	1080,	720,	0,	10,	46,	
616403,	1679,	60,	1080,	720,	0,	10,	46,	
618411,	1680,	60,	1079,	720,	0,	10,	46,	
620418,	1680,	60,	1079,	721,	0,	10,	46,	
622426,	1680,	60,	1080,	719,	0,	10,	46,	
624435,	1680,	60,	1080,	721,	0,	10,	46,	
626443,	1680,	60,	1080,	719,	0,	10,	46,	
628450,	1680,	60,	1080,	721,	0,	10,	46,	
630457,	1679,	60,	1078,	719,	0,	10,	46,	
632464,	1678,	60,	1079,	720,	0,	10,	46,	
634472,	1679,	60,	1080,	720,	0,	10,	46,	
636479,	1680,	60,	1078,	721,	0,	10,	46,	
638486,	1680,	60,	1080,	719,	0,	10,	46,	
640494,	1680,	60,	1080,	720,	0,	10,	46,	
642501,	1680,	60,	1080,	721,	0,	10,	46,	
644508,	1679,	59,	1080,	720,	0,	10,	46,	
646515,	1680,	61,	1080,	719,	0,	10,	46,	
648523,	1680,	60,	1079,	721,	0,	10,	46,	
650531,	1680,	60,	1078,	719,	0,	10,	46,	
652538,	1679,	60,	1080,	720,	0,	10,	46,	
654546,	1679,	60,	1080,	721,	0,	10,	46,	
656553,	1680,	60,	1080,	720,	0,	10,	46,	
658561,	1680,	60,	1080,	719,	0,	10,	46,	
660569,	1680,	60,	1080,	721,	0,	10,	46,	
662575,	1678,	60,	1080,	719,	0,	10,	46,	
664580,	1596,	57,	1024,	684,	0,	10,	46,	
666585,	1680,	60,	1079,	721,	0,	10,	46,	
668590,	1680,	60,	1080,	720,	0,	10,	46,	
670597,	1680,	60,	1080,	720,	0,	10,	46,	
672605,	1680,	60,	1080,	720,	0,	10,	46,	
674612,	1679,	60,	1079,	720,	0,	10,	46,	
676619,	1680,	60,	1079,	719,	0,	10,	46,	
678628,	1679,	60,	1079,	720,	0,	10,	46,	
680635,	1680,	60,	1080,	721,	0,	10,	46,	
682643,	1679,	60,	1079,	720,	0,	10,	46,	
684650,	1680,	59,	1080,	720,	0,	10,	46,	
686658,	1679,	61,	1079,	720,	0,	10,	46,	
688665,	1680,	60,	1080,	720,	0,	10,	46,	
690672,	1676,	60,	1080,	720,	0,	10,	46,	
